Job title,How old are you?,Currency,clean_country,total_comp_usd
software engineer ,25-34,GBP,united kingdom,62575.92
senior software engineer,25-34,GBP,uk,62575.92
software engineer,25-34,CAD,canada,62702.11
senior application developer,35-44,EUR,germany,62731.93
software engineer in test,18-24,USD,usa,63000.0
software test engineer,25-34,USD,usa,63000.0
software dev,35-44,USD,usa,63000.0
software tester,25-34,USD,usa,63000.0
software support specialist,25-34,USD,usa,63000.0
web developer,35-44,USD,usa,63000.0
web developer ,45-54,CAD,canada,63096.46
senior software developer ,45-54,GBP,isle of man,63312.11
lead software engineer,25-34,EUR,lithuania,63615.48
developer (software engineer/programmer),35-44,USD,usa,63750.0
senior software developer,45-54,GBP,england,63827.44
software developer,25-34,USD,usa,64000.0
software engineer,25-34,USD,usa,64000.0
php developer,35-44,EUR,germany,64057.25
software engineer ,35-44,GBP,united kingdom,64784.48
head of software engineering,35-44,GBP,spain,64784.48
senior software engineer,45-54,GBP,united kingdom,64784.48
senior software engineer,25-34,EUR,germany,64940.8
business intelligence developer,35-44,USD,usa,65000.0
lcsw-c/mental health clinician,25-34,USD,usa,65000.0
web developer ,35-44,USD,usa,65000.0
software qa analyst,25-34,USD,usa,65100.0
creative media developer,35-44,USD,usa,65500.0
software developer ,25-34,USD,usa,66000.0
web application developer,25-34,USD,usa,66000.0
software support engineer,18-24,USD,usa,66000.0
curriculum developer,45-54,USD,usa,66000.0
web developer,35-44,USD,usa,66000.0
ios software engineer,35-44,EUR,germany,66266.12
software engineer,25-34,EUR,germany,66266.12
account developer,25-34,USD,usa,66500.0
software trainer,25-34,USD,usa,66500.0
application developer,25-34,USD,usa,66780.0
software engineering manager,35-44,GBP,united kingdom,66993.04
software engineer,18-24,USD,usa,67000.0
[software] application developer,35-44,USD,usa,67500.0
frontend developer,25-34,GBP,"uk, but for globally fully remote company",67729.23
software developer,45-54,CAD,canada,67828.69
ux developer & product designer (junior),25-34,USD,usa,68000.0
developer / kanban master,35-44,SEK,sweden,68180.57
software developer,35-44,USD,usa,69000.0
software engineer,25-34,USD,usa,69000.0
marketing automation developer,25-34,CAD,canada,69011.75
software development manager,35-44,GBP,england,69201.6
software developer,35-44,CAD,canada,69406.1
software test engineer ,35-44,USD,usa,69500.0
front-end developer,35-44,USD,usa,70000.0
cloud developer/analyst - associate,25-34,USD,usa,70000.0
senior front-end developer ,25-34,USD,usa,70000.0
software engineer,35-44,USD,usa,70000.0
software engineer,25-34,USD,usa,70000.0
front end web developer,25-34,USD,usa,70000.0
software developer ii,25-34,USD,usa,70500.0
software engineer,35-44,USD,usa,70662.0
software engineer,25-34,EUR,france,70683.87
software engineer,35-44,CAD,canada,70983.52
senior software developer ,35-44,CAD,canada,70983.52
software engineer,25-34,CAD,canada,70983.52
seniors software developer,35-44,CAD,canada,70983.52
web developer,25-34,CAD,canada,70983.52
software engineer,25-34,CAD,canada,70983.52
software developer,35-44,CAD,canada,70983.52
dev ops developer,25-34,CAD,canada,70983.52
front end web developer ,25-34,USD,usa,71000.0
senior software engineer,35-44,GBP,uk,71410.17
chef and recipe developer,25-34,CAD,canada,71575.05
software engineer,25-34,SEK,sweden,71748.83
software dev 1,25-34,USD,usa,72000.0
software developer,25-34,USD,usa,72000.0
software developer,18-24,USD,usa,72000.0
software developer,18-24,USD,usa,72000.0
licsw,35-44,USD,usa,72000.0
licensed  independent clinical social worker (licsw),25-34,USD,usa,72000.0
applicaion developer iii,35-44,USD,usa,72000.0
software engineer,25-34,USD,usa,72000.0
software engineer,25-34,USD,usa,72452.0
associate software engineer,25-34,USD,usa,72500.0
educational developer,35-44,CAD,canada,72560.93
software engineering manager,35-44,GBP,uk,72882.54
software engineer,25-34,USD,usa,73000.0
software engineer,25-34,USD,usa,73000.0
software licensing rep,25-34,USD,usa,73000.0
web developer,35-44,USD,usa,73000.0
software developer,25-34,CAD,canada,73349.63
it analyst/developer,35-44,CAD,canada,73526.3
software developer,18-24,USD,usa,74000.0
web developer,25-34,USD,usa,74000.0
web developer,25-34,USD,usa,74620.0
application developer,25-34,USD,usa,74750.0
software developer ,35-44,USD,usa,74860.0
senior software engineer,35-44,USD,usa,74880.0
software engineer,35-44,USD,usa,74900.0
software developer ii,25-34,CAD,canada,74927.04
software engineer,25-34,USD,usa,75000.0
software engineer,25-34,USD,usa,75000.0
web application developer ,45-54,USD,usa,75000.0
web developer,25-34,USD,usa,75000.0
software implementation analyst,25-34,USD,usa,75000.0
rpa developer ,25-34,USD,usa,75000.0
software developer,18-24,USD,usa,75000.0
senior software engineer,35-44,EUR,netherlands,75101.61
software developer,35-44,EUR,germany,75101.61
materials developer,25-34,USD,usa,75110.0
developer,18-24,USD,usa,75500.0
software trainer,35-44,USD,usa,75900.0
software engineer,25-34,USD,usa,76000.0
software developer iii,45-54,USD,usa,76000.0
software engineer ,25-34,GBP,united kingdom,76305.81
software engineer,35-44,USD,usa,77000.0
technology developer,18-24,USD,usa,77500.0
function developer ,35-44,EUR,germany,77752.25
senior software engineer,25-34,USD,usa,78000.0
software engineering instructor,25-34,USD,usa,78000.0
software engineer,25-34,GBP,united kingdom,78772.04
software developer ,35-44,CAD,canada,78870.57
software business analyst,35-44,CAD,canada,78870.57
software developer,25-34,CAD,canada,78870.57
software developer,18-24,CAD,canada,78870.57
trainer/curriculum developer,25-34,USD,usa,79000.0
trainer/curriculum developer ,25-34,USD,usa,79000.0
project developer,25-34,USD,usa,79000.0
software engineer,25-34,USD,usa,79000.0
software developer,55-64,USD,usa,79000.0
software developer,25-34,USD,usa,79500.0
software engineer 1,18-24,USD,usa,79500.0
product developer,25-34,USD,usa,79500.0
python developer,35-44,EUR,netherlands,79519.35
software engineer,18-24,USD,usa,79600.0
senior developer,45-54,USD,usa,80000.0
software engineer,25-34,USD,usa,80000.0
"designer, sweaters ",25-34,USD,usa,80000.0
geophysical software support specialist,25-34,USD,usa,80000.0
software engineer ,25-34,USD,usa,80000.0
software developer,25-34,USD,usa,80000.0
embedded software engineer,25-34,USD,usa,80000.0
systems developer,35-44,USD,usa,80000.0
web developer,35-44,USD,usa,80000.0
multimedia developer,25-34,USD,usa,80000.0
software developer,25-34,USD,usa,80000.0
software engineer,45-54,USD,usa,80000.0
software engineer,18-24,USD,usa,80000.0
software engineer,25-34,CAD,canada,80053.63
senior software engineer,45-54,GBP,united kingdom,80244.41
software developer i,18-24,USD,usa,80340.0
software developer,25-34,CAD,canada,80447.98
developer,25-34,USD,usa,80500.0
software engineer,18-24,GBP,uk,80612.51
software quality assurance and release manager,25-34,USD,usa,81000.0
web developer,35-44,USD,usa,81000.0
web developer,35-44,USD,usa,81200.0
developer,25-34,USD,usa,81200.0
software development manager,35-44,CAD,canada,81236.69
software engineer,35-44,EUR,germany,81286.45
software engineer,18-24,USD,usa,82000.0
software engineer,35-44,USD,usa,82000.0
application developer,45-54,USD,usa,82000.0
software engineer,35-44,USD,usa,82000.0
web developer,45-54,USD,usa,82000.0
software developer,25-34,USD,usa,82000.0
software developer,25-34,USD,usa,82000.0
software developer,25-34,CAD,canada,82025.4
software engineer,25-34,EUR,luxemburg,82169.99
software engineer ii,25-34,USD,usa,82750.0
software developer / customer integrations,25-34,CAD,canada,82814.1
software developer,25-34,CAD,canada,82814.1
software engineer,25-34,USD,usa,83000.0
web applications developer,35-44,USD,usa,83000.0
software engineer,25-34,USD,usa,83000.0
software engineer,35-44,EUR,france,83053.54
assessment developer ,35-44,USD,usa,83500.0
software implementation consultant,18-24,USD,usa,83600.0
software engineer,25-34,EUR,ireland,83937.09
business intelligence developer,35-44,USD,usa,84000.0
software developer,35-44,CAD,canada,84391.51
lead developer,35-44,GBP,united kingdom,84661.54
software developer,35-44,EUR,spain,84820.64
software consultant,18-24,USD,usa,85000.0
software developer,25-34,USD,usa,85000.0
senior information developer,45-54,USD,usa,85000.0
software developer,25-34,USD,usa,85000.0
software quality assurance analyst ii,35-44,USD,usa,85000.0
software consultant,25-34,USD,usa,85000.0
senior software engineer,35-44,GBP,england,85029.63
software engineer ii,35-44,USD,usa,85600.0
senior web application developer,25-34,CAD,canada,85968.92
senior sql developer,18-24,USD,usa,86000.0
software developer,35-44,GBP,uk,86133.91
developer,25-34,USD,usa,86200.0
process developer,45-54,USD,usa,86500.0
senior software designer,45-54,CAD,canada,86757.63
senior developer relations manager ,35-44,CAD,canada,86757.63
senior software engineer,25-34,CHF,switzerland,86772.6
software developer,35-44,CAD,canada,86920.1
software engineer 3,35-44,USD,usa,87000.0
full stack software engineer ii,25-34,USD,usa,87000.0
software engineer,25-34,USD,usa,87000.0
software engineer,25-34,USD,usa,87000.0
software engineer,25-34,USD,usa,87500.0
associate software engineer,25-34,USD,usa,87500.0
data visualization developer,25-34,USD,usa,88000.0
software engineer,25-34,USD,usa,88000.0
software developer,25-34,USD,usa,88000.0
software developer,25-34,USD,usa,88000.0
software engineer,55-64,GBP,uk,88048.0
senior developer,45-54,CAD,canada,88335.04
principal software engineer,35-44,GBP,uk,88342.47
web developer,35-44,USD,usa,88500.0
junior software developer ,18-24,USD,usa,88550.0
software engineer,18-24,USD,usa,88600.0
senior software developer,35-44,EUR,ireland,89238.38
peoplesoft developer,25-34,USD,usa,89500.0
lcsw,25-34,USD,usa,90000.0
web developer,35-44,USD,usa,90000.0
web developer,25-34,USD,usa,90000.0
web developer,45-54,USD,usa,90000.0
junior software engineer,25-34,USD,usa,90000.0
frontend software engineer,25-34,USD,usa,90000.0
software developer,35-44,USD,usa,90000.0
software engineer ,25-34,USD,usa,90000.0
senior developer,35-44,USD,usa,90000.0
software engineer ii,25-34,USD,usa,90000.0
software engineer,18-24,USD,usa,90000.0
footwear technical developer 1,25-34,USD,usa,90000.0
specialist software engineer,35-44,USD,usa,90000.0
software engineer,25-34,USD,usa,90000.0
software engineer,18-24,USD,usa,90200.0
software developer (junior),25-34,AUD/NZD,australia,90365.63
software developer,25-34,AUD/NZD,australia,90365.63
front end web developer,25-34,AUD/NZD,australia,90365.63
software engineer ii,25-34,USD,usa,90500.0
senior software engineer,25-34,CAD,canada,90701.16
senior software developer,35-44,CAD,canada,90701.16
senior software engineer,25-34,CAD,canada,90701.16
senior javascript developer,35-44,USD,usa,91000.0
senior front-end web developer,25-34,USD,usa,91000.0
software engineer,25-34,USD,usa,91000.0
system software engineer,25-34,CAD,canada,91489.87
software developer,25-34,USD,usa,91850.0
software architect,35-44,EUR,germany,91889.03
principal software engineer,35-44,EUR,germany,91889.03
software engineer,25-34,USD,usa,92000.0
technology systems developer,35-44,USD,usa,92100.0
senior software developer,35-44,USD,usa,92435.0
software developer,55-64,USD,usa,92500.0
staff software engineer,25-34,EUR,portugal,92772.57
senior software developer,35-44,USD,usa,93000.0
software engineer ii,35-44,USD,usa,93000.0
etl developer ,35-44,USD,usa,93000.0
database software engineer,25-34,USD,usa,93000.0
software engineer,25-34,USD,usa,93000.0
principal software engineer,25-34,USD,usa,93500.0
software developer team lead,25-34,USD,usa,93500.0
software engineer,25-34,USD,usa,93500.0
software engineer,18-24,USD,usa,93500.0
lead software qa engineer,45-54,USD,usa,93600.0
principal software engineering manager,35-44,GBP,uk,93863.88
software developer ii,25-34,USD,usa,94000.0
etl developer ii,35-44,USD,usa,94000.0
software engineer i,18-24,USD,usa,94000.0
software engineer,25-34,USD,usa,94000.0
associate software engineer,35-44,USD,usa,94000.0
senior ios developer/consultant ,45-54,USD,usa,94000.0
web developer,25-34,USD,usa,94000.0
application developer,25-34,USD,usa,94000.0
software developer - team lead,25-34,CAD,canada,94644.69
ios developer,25-34,CAD,canada,94644.69
software engineer,35-44,CAD,canada,94644.69
software architect,25-34,CAD,canada,94644.69
senior software developer,35-44,USD,usa,94700.0
software developer,35-44,USD,usa,94800.0
software engineer,25-34,USD,usa,95000.0
software engineer,35-44,USD,usa,95000.0
software engineer,35-44,USD,usa,95000.0
software qa manager,35-44,USD,usa,95000.0
developer,25-34,USD,usa,95000.0
salesforce developer,35-44,USD,usa,95000.0
software engineer,25-34,USD,usa,95000.0
senior software engineer,25-34,USD,usa,95000.0
software engineer,25-34,USD,usa,95000.0
senior software engineer ,25-34,USD,usa,95000.0
software development engineer,35-44,USD,usa,95000.0
pipeline developer,25-34,USD,usa,95000.0
software developer,18-24,USD,usa,95000.0
senior software engineer,35-44,CAD,canada,95039.04
front end web developer,25-34,USD,usa,95200.0
developer,35-44,USD,usa,95250.0
software developer ii,25-34,USD,usa,95350.0
software engineer,25-34,USD,usa,95680.0
senior software engineer,25-34,GBP,united kingdom,95704.35
software engineer ii,25-34,USD,usa,96000.0
designer / developer,25-34,USD,usa,96000.0
developer,35-44,USD,usa,96000.0
software engineer for safety critical & fault tolerant systems,25-34,USD,usa,96000.0
senior software developer,25-34,CAD,canada,96222.1
software test engineer,55-64,USD,usa,96500.0
software engineer,25-34,USD,usa,97000.0
lead software designer,45-54,USD,usa,97000.0
embedded software engineer ,25-34,USD,usa,97000.0
software engineer,25-34,USD,usa,97000.0
software engineer 2,45-54,USD,usa,97000.0
front end developer,35-44,USD,usa,97000.0
game developer,35-44,CAD,canada,97010.81
software engineer,25-34,EUR,germany,97190.32
software developer,25-34,AUD/NZD,new zealand,97316.84
software engineer,25-34,USD,usa,97438.0
junior software engineer,25-34,USD,usa,98000.0
software developer and consultant,25-34,USD,usa,98000.0
senior web application developer,45-54,USD,usa,98166.0
software engineer,18-24,USD,usa,98500.0
senior software developer,35-44,CAD,canada,98588.22
software engineer,18-24,USD,usa,98800.0
software engineer ii,25-34,USD,usa,99000.0
application developer,18-24,USD,usa,99000.0
software implementation manager,25-34,USD,usa,99000.0
software engineer ii,25-34,USD,usa,99000.0
senior software engineer,35-44,USD,usa,100000.0
business software analyst iii,35-44,USD,usa,100000.0
software developer,18-24,USD,usa,100000.0
software engineer,25-34,USD,usa,100000.0
software engineer ,35-44,USD,usa,100000.0
web developer,35-44,USD,usa,100000.0
senior developer,45-54,USD,usa,100000.0
software engineer,25-34,USD,usa,100000.0
senior software applications developer,25-34,USD,usa,100000.0
senior software engineer,25-34,USD,usa,100000.0
software engineer ii,25-34,USD,usa,100000.0
software engineer,25-34,CAD,canada,100165.63
software developer,35-44,USD,usa,100260.0
software developer,55-64,CAD,canada,100323.37
software developer,25-34,AUD/NZD,australia,100375.36
software engineer,25-34,USD,usa,100880.0
software engineer,18-24,USD,usa,101000.0
senior ux developer,35-44,USD,usa,101000.0
software developer ,45-54,USD,usa,101000.0
software engineer,35-44,USD,usa,101100.0
software engineer,25-34,USD,israel,101150.0
software developer,35-44,USD,usa,101209.0
senior software developer,45-54,EUR,germany,101464.04
software engineer,18-24,USD,usa,101500.0
senior software engineer,25-34,USD,usa,101500.0
senior software engineer,45-54,USD,usa,101500.0
software engineer 2,25-34,USD,usa,102000.0
"software engineer, test ii",25-34,USD,usa,102000.0
software engineer 2,18-24,USD,usa,102200.0
software architect,35-44,CAD,canada,102531.75
software engineer,35-44,USD,usa,102900.0
developer ii,25-34,USD,usa,103000.0
software engineer 2 lead,35-44,USD,usa,103000.0
software engineer,35-44,USD,usa,103000.0
developer,25-34,USD,usa,103000.0
database developer,45-54,USD,usa,103000.0
software engineer,18-24,USD,usa,103000.0
swe,35-44,GBP,uk,103066.22
principal software engineer,35-44,GBP,united kingdom,103066.22
mainframe cobol software developer iii,45-54,USD,usa,103250.0
senior front end developer ,35-44,CAD,canada,103320.45
web software engineer iii,35-44,USD,usa,103500.0
software engineer 2,25-34,USD,usa,103900.0
software engineer,25-34,USD,usa,104000.0
software development project manager,45-54,USD,usa,104000.0
business intelligence developer,25-34,USD,usa,104000.0
software developer,25-34,AUD/NZD,nz,104268.04
software developer,25-34,USD,usa,104500.0
senior software developer,35-44,CAD,canada,104503.51
junior experience developer,25-34,CAD,canada,104582.38
software engineer,25-34,USD,usa,105000.0
software engineer ii,25-34,USD,usa,105000.0
senior software engineer,25-34,USD,usa,105000.0
advanced analytics developer,35-44,USD,usa,105000.0
software engineer ii,18-24,USD,usa,105000.0
senior software engineer,25-34,USD,usa,105000.0
netsuite administrator and developer,18-24,USD,usa,105000.0
software engineer,35-44,USD,usa,105000.0
software developer,35-44,USD,usa,105000.0
software developer - level 1 ,45-54,USD,usa,105400.0
software engineer 3,35-44,SEK,sweden,105569.91
senior software engineer,35-44,USD,usa,106000.0
software architect,35-44,USD,usa,106000.0
online course developer,25-34,USD,usa,106000.0
software engineer,45-54,USD,usa,106000.0
tac ent rt switching cisco,35-44,USD,usa,106000.0
software developer,25-34,USD,usa,106000.0
software engineer,25-34,EUR,netherlands,106025.8
full stack developer ,25-34,CHF,switzerland,106296.44
senior software engineer ,35-44,USD,usa,106300.0
front end developer,25-34,CAD,canada,106475.27
software engineer,18-24,CAD,canada,106475.27
"software engineer, sr",35-44,USD,usa,107000.0
sr software test engineer,45-54,USD,usa,107000.0
software developer,45-54,USD,usa,107000.0
associate software engineer,18-24,USD,usa,107000.0
software qa analyst,25-34,USD,usa,107000.0
software verification & validation specialist,35-44,USD,usa,107100.0
software development engineer iii,25-34,EUR,ireland,107792.9
software engineer,25-34,USD,usa,108000.0
software engineer,25-34,USD,usa,108500.0
software engineer,18-24,USD,usa,108500.0
software,45-54,EUR,germany,108676.44
senior software engineer,25-34,USD,usa,109000.0
software engineer,25-34,USD,usa,109000.0
senior developer,35-44,USD,usa,109000.0
rpa developer,25-34,USD,usa,109200.0
software engineer ii,25-34,USD,usa,109450.0
web developer,35-44,USD,usa,110000.0
software engineer ii,25-34,USD,usa,110000.0
software engineer,25-34,USD,usa,110000.0
software developer,25-34,USD,usa,110000.0
software developer,18-24,USD,usa,110000.0
software engineer ,35-44,USD,usa,110000.0
senor software engineer,35-44,USD,usa,110000.0
senior developer,35-44,USD,usa,110000.0
lead developer,25-34,USD,usa,110000.0
software consultant,35-44,USD,usa,110000.0
senior front end web developer,35-44,USD,usa,110000.0
software engineer,18-24,USD,usa,110000.0
software engineer,25-34,USD,usa,110000.0
software engineer,35-44,USD,usa,110000.0
software engineer,35-44,USD,usa,110000.0
software developer,25-34,USD,usa,110000.0
lead software engineer,25-34,USD,usa,110000.0
software product manager,35-44,USD,usa,110000.0
software engineer in test,35-44,USD,usa,110000.0
software developer,35-44,USD,usa,110000.0
software engineer,35-44,CAD,canada,110418.8
software engineer,25-34,CAD,canada,110418.8
software developer,35-44,CAD,canada,110418.8
staff software engineer,35-44,USD,usa,110500.0
